SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family,iucn_id,iucn_code,iucn_version
ITS-Mam-180623,69420,Neophoca,cinerea,Australian sea lion,199,Animalia,Chordata,Mammalia,Carnivora,Otariidae,14549,EN,2020-2
ITS-Mam-180619,69418,Otaria,flavescens,South American sea lion,271,Animalia,Chordata,Mammalia,Carnivora,Otariidae,41665,LC,2020-2
ITS-Mam-180617,69417,Phocarctos,hookeri,Hooker's sea lion,55,Animalia,Chordata,Mammalia,Carnivora,Otariidae,17026,EN,2020-2
ITS-Mam-180621,69419,Zalophus,californianus,California sea lion,342,Animalia,Chordata,Mammalia,Carnivora,Otariidae,41666,LC,2020-2
ITS-Mam-622014,71164,Zalophus,wollebaeki,Galapagos sea lion,30,Animalia,Chordata,Mammalia,Carnivora,Otariidae,41668,EN,2020-2
ITS-Mam-180657,68967,Cystophora,cristata,hooded seal,166,Animalia,Chordata,Mammalia,Carnivora,Phocidae,6204,VU,2020-2
ITS-Mam-180655,68966,Erignathus,barbatus,bearded seal,598,Animalia,Chordata,Mammalia,Carnivora,Phocidae,8010,LC,2020-2
ITS-Mam-180653,68965,Halichoerus,grypus,grey seal,957,Animalia,Chordata,Mammalia,Carnivora,Phocidae,9660,LC,2020-2
ITS-Mam-622021,71168,Histriophoca,fasciata,ribbon seal,78,Animalia,Chordata,Mammalia,Carnivora,Phocidae,41670,LC,2020-2
ITS-Mam-180667,69573,Hydrurga,leptonyx,leopard seal,366,Animalia,Chordata,Mammalia,Carnivora,Phocidae,10340,LC,2020-2
ITS-Mam-180669,69574,Leptonychotes,weddellii,Weddell seal,384,Animalia,Chordata,Mammalia,Carnivora,Phocidae,11696,LC,2020-2
ITS-Mam-622023,71170,Lobodon,carcinophaga,crabeater seal,2095,Animalia,Chordata,Mammalia,Carnivora,Phocidae,12246,LC,2020-2
ITS-Mam-180672,69576,Mirounga,angustirostris,northern elephant seal,1940,Animalia,Chordata,Mammalia,Carnivora,Phocidae,13581,LC,2020-2
ITS-Mam-180671,69575,Mirounga,leonina,southern elephant seal,10918,Animalia,Chordata,Mammalia,Carnivora,Phocidae,13583,LC,2020-2
ITS-Mam-180659,69569,Monachus,monachus,Mediterranean monk seal,67,Animalia,Chordata,Mammalia,Carnivora,Phocidae,13653,EN,2020-2
ITS-Mam-180661,69571,Monachus,schauinslandi,Hawaiian monk seal,30,Animalia,Chordata,Mammalia,Carnivora,Phocidae,13654,EN,2020-2
ITS-Mam-180665,69572,Ommatophoca,rossii,ross seal,206,Animalia,Chordata,Mammalia,Carnivora,Phocidae,15269,LC,2020-2
ITS-Mam-622022,71169,Pagophilus,groenlandicus,harp seal,341,Animalia,Chordata,Mammalia,Carnivora,Phocidae,41671,LC,2020-2
ITS-Mam-180642,68963,Phoca,largha,larga seal,169,Animalia,Chordata,Mammalia,Carnivora,Phocidae,17023,LC,2020-2
ITS-Mam-180649,68964,Phoca,vitulina,Harbour seal,1192,Animalia,Chordata,Mammalia,Carnivora,Phocidae,17013,LC,2020-2
ITS-Mam-622018,71165,Pusa,hispida,ringed seal,803,Animalia,Chordata,Mammalia,Carnivora,Phocidae,41672,LC,2020-2
ITS-Mam-180533,69009,Balaena,mysticetus,bowhead whale,1445,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,2467,LC,2020-2
ITS-Mam-552771,69826,Eubalaena,australis,southern right whale,4689,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,8153,LC,2020-2
ITS-Mam-180537,69191,Eubalaena,glacialis,North Atlantic right whale,249,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,41712,CR,2020-2
ITS-Mam-612591,70931,Eubalaena,japonica,North Pacific right whale,1572,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,41711,EN,2020-2
ITS-Mam-180524,69003,Balaenoptera,acutorostrata,northern minke whale,2754,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,2474,LC,2020-2
