ID,CsquareCode,LOICZID,NLimit,Slimit,WLimit,ELimit,CenterLat,CenterLong,CellArea,OceanArea,PWater,ClimZoneCode,FAOAreaM,FAOAreaIn,CountryMain,CountrySecond,CountryThird,CountrySubMain,CountrySubSecond,CountrySubThird,EEZ,LME,LMEBorder,MEOW,OceanBasin,IslandsNo,Area0_20,Area20_40,Area40_60,Area60_80,Area80_100,AreaBelow100,ElevationMin,ElevationMax,ElevationMean,ElevationSD,DepthMin,DepthMax,DepthMean,DepthSD,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA
228485,7413:208:2,71363,40.5,40,-139,-138.5,40.25,-138.75,2359.2,2359.2,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2359.2,-9999,-9999,-9999,-9999,4118,4552,4351,89.71,15.3314332962036,1.14934194087982,32.9924278259277,34.6878395080566,2.83099990338087,0,257.351959228516,147.515335083008,1246,0,0,2359.201,-9999,0,0,0,NA
228486,7413:208:3,70644,41,40.5,-138.5,-138,40.75,-138.25,2341.68,2341.68,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2341.68,-9999,-9999,-9999,-9999,4082,4391,4255,65.26,14.9333610534668,1.18008196353912,32.9273719787598,34.6881637573242,2.89199990220368,0,259.231628417969,141.701599121094,1195,0,0,2341.683,-9999,0,0,0,NA
228487,7413:208:4,70643,41,40.5,-139,-138.5,40.75,-138.75,2341.68,2341.68,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2341.68,-9999,-9999,-9999,-9999,3853,4480,4262,113.82,14.964732170105,1.19047296047211,32.9364624023438,34.6793327331543,2.90299998596311,0,259.297576904297,140.207321166992,1236,0,549.007019138756,1792.67598086124,-9999,0,0,0,NA
228488,7413:209:1,71362,40.5,40,-139.5,-139,40.25,-139.25,2359.2,2359.2,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2359.2,-9999,-9999,-9999,-9999,4024,4624,4361,131.75,15.3367567062378,1.13833904266357,33.0062141418457,34.6876373291016,2.82000005245209,0,257.261291503906,150.293487548828,1287,0,0,2359.201,-9999,0,0,0,NA
228489,7413:209:2,71361,40.5,40,-140,-139.5,40.25,-139.75,2359.2,2359.2,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2359.2,-9999,-9999,-9999,-9999,4173,4636,4447,99.26,15.3267507553101,1.15493094921112,33.010498046875,34.6874923706055,2.83699994906783,0,257.412902832031,145.617416381836,1329,0,0,2359.201,-9999,0,0,0,NA
228490,7413:209:3,70642,41,40.5,-139.5,-139,40.75,-139.25,2341.68,2341.68,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2341.68,-9999,-9999,-9999,-9999,3491,4650,4417,112.12,14.9828243255615,1.15672600269318,32.9440307617188,34.6880760192871,2.91400006972253,0,259.345245361328,144.919723510742,1278,0,1028.40090336497,1313.28209663503,-9999,0,0,1,NA
228491,7413:209:4,70641,41,40.5,-140,-139.5,40.75,-139.75,2341.68,2341.68,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2341.68,-9999,-9999,-9999,-9999,3524,4657,4533,128.34,14.9652338027954,1.14298701286316,32.950927734375,34.6883697509766,2.94500007294118,0,259.484436035156,148.201309204102,1319,0,983.796211827008,1357.88678817299,-9999,0,0,0,NA
228492,7413:215:1,69930,41.5,41,-135.5,-135,41.25,-135.25,2323.98,2323.98,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2323.98,-9999,-9999,-9999,-9999,3823,4242,4052,68.68,14.6255931854248,1.21297299861908,32.8506736755371,34.6770057678223,2.65999999828637,0,260.378356933594,135.248519897461,938,0,981.731556085919,1342.25444391408,-9999,0,0,0,NA
228493,7413:215:2,69929,41.5,41,-136,-135.5,41.25,-135.75,2323.98,2323.98,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2323.98,-9999,-9999,-9999,-9999,3819,4216,4075,77.65,14.633487701416,1.20880198478699,32.8651657104492,34.6770057678223,2.72300001233816,0,260.336212158203,135.92138671875,979,0,1059.55029219144,1264.43570780856,-9999,0,0,0,NA
228494,7413:215:3,69210,42,41.5,-135.5,-135,41.75,-135.25,2306.11,2306.11,100,NS,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2306.11,-9999,-9999,-9999,-9999,3262,4099,3903,133,14.3120260238647,1.25482702255249,32.804859161377,34.6699981689453,2.71499995142221,0,261.979675292969,126.770820617676,930,0,2033.34606451613,272.765935483871,-9999,0,0,0,NA
